report_id,report_year,facility_id,jurisdiction_code,jurisdiction_facility_id,facility_name,registered_business_name,primary_anzsic_class_code,primary_anzsic_class_name,substance_id,substance_sort_order,substance_name,air_point_emission_kg,air_point_eet,air_fugitive_emission_kg,air_fugitive_eet,air_total_emission_kg,water_emission_kg,water_eet,land_emission_kg,land_eet,suburb,state,postcode,latitude,longitude,pivot_facility_name
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,20,21,Carbon monoxide,14856.8,___4_,54.8541,___4_,14911.6541,,,,,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,21,22,Chlorine & compounds,,,,,,,,6218.45,___4_,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,23,24,Chloroethane (ethyl chloride),,,16.7427,___4_,16.7427,,,,,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,24,25,Chloroform (trichloromethane),,,0.555311,___4_,0.555311,,,0.305653,___4_,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,25,26,"Chlorophenols (di, tri, tetra)",,,,,,,,0.00537527,___4_,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,26,27,Chromium (III) compounds,,,,,,,,0.44267,___4_,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,27,28,Chromium (VI) compounds,,,,,,,,0.189716,___4_,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,29,30,Copper & compounds,,,,,,,,0.569147,___4_,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,30,31,Cumene (1-methylethylbenzene),,,3.20167,___4_,3.20167,,,,,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,32,33,Cyclohexane,,,5.39223,___4_,5.39223,,,,,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,35,37,"1,2-Dichloroethane",,,0.741138,___4_,0.741138,,,0.105398,___4_,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,36,38,Dichloromethane,,,34.318,___4_,34.318,,,4.63749,___4_,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
551090,2022/2023,549268,VIC,22863,DEALS ROAD LANDFILL,A.J. BAXTER PROPRIETARY LIMITED,2921,Waste Treatment and Disposal Services,37,39,Ethanol,,,0.656569,___4_,0.656569,,,,,Clayton South,VIC,3169,-37.956586,145.119643,"DEALS ROAD LANDFILL, Clayton South VIC (00022863)"
